Name,Author,Category,Created,Date,Finished,Image,Related to References (Source),Tags,Type
Dehumanization: An Integrative Review,Nick Haslam (https://www.notion.so/Nick-Haslam-6a05772a29554c58a0088333d234a51f?pvs=21),"Psychology, Psychopathology","August 22, 2023 11:28 PM",,No,,,,Study
Developing mobility power tactics and strategies: the experiences of Central Eastern European workers in Scotland,Hazel Baxter-Reid (https://www.notion.so/Hazel-Baxter-Reid-780d577393dd492da13d671716e2363e?pvs=21),Sociology,"August 22, 2023 11:32 PM",,No,,,,Study
Developing Trust in Virtual Teams,Marie-Line Germain (https://www.notion.so/Marie-Line-Germain-d993c97cef9745919ddde310323da3f8?pvs=21),Sociology,"August 22, 2023 11:27 PM",,No,,,,Study
"Does Self-Love or Self-Hate Predict Conspiracy Beliefs? Narcissism, Self-Esteem, and the Endorsement of Conspiracy Theories",Aleksandra Cichocka (https://www.notion.so/Aleksandra-Cichocka-a874858ffd8f4307b2f908de06a88f8d?pvs=21),Psychopathology,"August 23, 2023 12:07 AM",,No,,,,Study
Does the richness of the few benefit us all?,Zygmunt Bauman (https://www.notion.so/Zygmunt-Bauman-5320c073d4eb47adb48c780ddb22b2e4?pvs=21),Sociology,"May 7, 2022 3:42 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Does%20the%20richness%20of%20the%20few%20benefit%20us%20all%20f6e609bb253242448a77be593509b427/074567108X.jpg,"The central lesson of the last 30 years is that an economic model that allows the richest members of society to accumulate a larger and larger share of the cake will eventually self-destruct. It is a lesson, it appears, that has yet to be learned. (https://www.notion.so/The-central-lesson-of-the-last-30-years-is-that-an-economic-model-that-allows-the-richest-members-of-a25d601452e546c9999ecb5a8d46d13e?pvs=21), Margaret Thatcher presumed, without proof, that different individuals have different abilities by nature rather than having different capacities to develop their potential because they are cast in different social conditions. Thatcher takes it for granted as something self-evident. (https://www.notion.so/Margaret-Thatcher-presumed-without-proof-that-different-individuals-have-different-abilities-by-na-cd942717027f4595b844383539f52fcb?pvs=21), We live in a “structured” social environment, and the “structuring” consists precisely of the manipulation of probabilities. It consists of arranging and rearranging the assignment of rewards and punishments in such a faship as to make the probability of some choices much higher, and of some others much lower, than they otherwise would have been. “Reality”, after all, is the name we give to external resistance to our own inner wishes... The stronger their resistance, the more “real” the obstacles feel. (https://www.notion.so/We-live-in-a-structured-social-environment-and-the-structuring-consists-precisely-of-the-manipu-b23ac73e12054b118c20af0be8f8267d?pvs=21), Competition is a sublimated substitute for war. War is in no way inevitable. If we want war, we may choose war, but if we want peace, we may equally well choose peace. If we wish rivalry, we may choose rivalry; we can, however, decide instead on friendly cooperation. (https://www.notion.so/Competition-is-a-sublimated-substitute-for-war-War-is-in-no-way-inevitable-If-we-want-war-we-may--21eb7475b3f24293913207568cc76d33?pvs=21), Two great sociologists, W. I. Thomas and Florian Znaniecki, found out a century ago that if people believe something to be true, they make it true by the way they behave. (https://www.notion.so/Two-great-sociologists-W-I-Thomas-and-Florian-Znaniecki-found-out-a-century-ago-that-if-people-b-05a35496b69a4f50999e1ea6c76903ca?pvs=21), The most formidable minds among the pioneers of modern economics considered “economic growth” a regrettable nuisance rather than a blessing: though, fortunately, a temporary and eminently transient irritant, caused by an as yet insufficient supply of the goods indispensable for satisfying the sum total of human needs. Most of them believed that such a sum total could be calculated - and once the productive capacity of society matched it, the “stable” or “steady” economy, more akin and friendly to the “natural” disposition of human beings, would follow. (https://www.notion.so/The-most-formidable-minds-among-the-pioneers-of-modern-economics-considered-economic-growth-a-regr-3474aeb73e1a4bfdbc313c12b57a7bd6?pvs=21), Maynard Keynes still expected the day to inevitably arrive when society could focus on ends (well-being) rather than, as hitherto, on means (economic growth and the individual pursuit of profit). (https://www.notion.so/Maynard-Keynes-still-expected-the-day-to-inevitably-arrive-when-society-could-focus-on-ends-well-be-fa7e7ed75b424b5a9342a522684049a6?pvs=21), Avarice is a vice, the exaction of usury is a misdemeanor, and the love of money is detestable (https://www.notion.so/Avarice-is-a-vice-the-exaction-of-usury-is-a-misdemeanor-and-the-love-of-money-is-detestable-296a8415c3ac4089bda7720e2980b11e?pvs=21), The day is not far off when the economic problem will take the back seat where it belongs, and the arena of the heart and the head will be occupied or reoccupied, by our real problems - the problems of life and of human relations, of creation and behaviour and religion. (https://www.notion.so/The-day-is-not-far-off-when-the-economic-problem-will-take-the-back-seat-where-it-belongs-and-the-a-182f5a66f5494c8baa6cba736bd6da90?pvs=21), Increase in “total wealth” goes hand in hand with a deepening of social inequality while stretching yet more the already unbridgeable gap between the existential security and general well-being of the top end and the bottom end of the social pyramid. (https://www.notion.so/Increase-in-total-wealth-goes-hand-in-hand-with-a-deepening-of-social-inequality-while-stretching--200222dcbaa643d3a68ebe0e308e0eda?pvs=21), Amancio Ortega, founder of Inditex, owner of 1600 Zara stores, has added $18 billion to his wealth in just the twelve months since October 2011, which comes out at about $66 million a day. (https://www.notion.so/Amancio-Ortega-founder-of-Inditex-owner-of-1600-Zara-stores-has-added-18-billion-to-his-wealth-i-21351c77e2e147dc84ae1dbb98c07145?pvs=21), Enrichment of the rich does not “trickle down” even to those located in the closest vicinity in the hierarchies of wealth and income - let alone to those further down the ladder. (https://www.notion.so/Enrichment-of-the-rich-does-not-trickle-down-even-to-those-located-in-the-closest-vicinity-in-the--46873f20221f4fc0935fc39510a17cfa?pvs=21), Products of consumer technology catch their clients with the bait of satisfying their narcissism. The “electronic boom”, the fabulous profits garnered from the sale of increasingly “user friendly” gadgets - pliable, submissive, always obedient and never contravening the master’s will - bears all the marks of another “virgin land” freshly discovered and put into exploitation (and recipe for a never-ending string of new virgin-land discoveries). Let me repeat: the area most recently opened to exploitation by consumer markets is not one of love - but of narcissism. (https://www.notion.so/Products-of-consumer-technology-catch-their-clients-with-the-bait-of-satisfying-their-narcissism-Th-43cb2ded0593485199c56b0c3db6a60b?pvs=21), Love is, or threatens to be, an antidote against narcissism. It is also the prime whistleblower when it comes to debunking the falsehood of the pretences on which we try to perch our self-esteem while laboriously avoiding testing it in the field of action. (https://www.notion.so/Love-is-or-threatens-to-be-an-antidote-against-narcissism-It-is-also-the-prime-whistleblower-when-9fafc6db59c548e7b9e63dcc35861b37?pvs=21), If the proles can be distracted from their own despair by media-created pseudo-events... the super-rich will have little to fear. (https://www.notion.so/If-the-proles-can-be-distracted-from-their-own-despair-by-media-created-pseudo-events-the-super-r-379425632f5f41eebc9c4709bf4d1796?pvs=21), People have learnt to enjoy measuring one’s own success by the degree of others’ failure, the extent of one’s advancement by the number of others lagging behind, and all in all, one’s rise in value by the scope of the devaluation of others. (https://www.notion.so/People-have-learnt-to-enjoy-measuring-one-s-own-success-by-the-degree-of-others-failure-the-extent-8f8229bf965c4c0fa4953d20a3395454?pvs=21)",,High culture
DSM-5,,Psychopathology,"August 22, 2023 11:15 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/DSM-5%20e8606a8714854ffc8ce7e977e3e468a2/DSM-5_Cover.png,,,Manual / Guide
Dynamics of Communicator and Audience Power: The Persuasiveness of Competence versus Warmth,David Dubois (https://www.notion.so/David-Dubois-be93884af0e74af8a2e548b2b686d211?pvs=21),Psychology,"August 22, 2023 11:55 PM",,No,,,,Study
Economic and Philosophic Manuscripts of 1844,Karl Marx (https://www.notion.so/Karl-Marx-cad41900c24c49a180181e6a5aa72758?pvs=21),"Economy, Ontology, Politics, Sociology","February 22, 2023 1:12 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Economic%20and%20Philosophic%20Manuscripts%20of%201844%2055207cc257d3462b8429bb7afe72c35c/85954.jpg,,,High culture
Electromagnetism: Nature’s Force That Shapes Our Lives,Lawrence Fagg (https://www.notion.so/Lawrence-Fagg-c396e9ea7256449f9576b367976903b0?pvs=21),Physics,"February 22, 2023 1:40 PM",,No,,,,Popular
Employee voice and silence in organizational behavior,Chad T. Brinsfield (https://www.notion.so/Chad-T-Brinsfield-7ae3e13c0d634ecdae93cb1864dd2f77?pvs=21),Sociology,"August 22, 2023 11:31 PM",,No,,,,Study
Enthusiastic Acts of Evil: The assessment of Sadistic Personality in Polish and Italian Populatins,Christopher Marcin Kowalski (https://www.notion.so/Christopher-Marcin-Kowalski-3cbb9c29a9ce4c8da5121dc161c76836?pvs=21),Psychopathology,"August 22, 2023 11:26 PM",,No,,,,Study
Essentials of WAIS-IV Assessment,Elizabeth O. Lichtenberger (https://www.notion.so/Elizabeth-O-Lichtenberger-6bbc9703f80b4b348473cc3ef60c79b1?pvs=21),Psychology,"August 22, 2023 11:06 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Essentials%20of%20WAIS-IV%20Assessment%2057ec928a7f7a4b34a04999c58c3a419a/61HHDflEL._AC_UF10001000_QL80_.jpg,,,Manual / Guide
Exclusions Individuality or Individualization by Inclusion?,Armin Nassehi (https://www.notion.so/Armin-Nassehi-6d1f5b5ed9314b73a3fc9dab476abd73?pvs=21),Sociology,"August 23, 2023 12:05 AM",,No,,,,Study
Explaining human altruism,Michael Vlerick (https://www.notion.so/Michael-Vlerick-15d61ee6b1954f5489cccc84754390b4?pvs=21),Psychology,"August 23, 2023 12:12 AM",,No,,,,Study
